BY/112 11.04. ТР013 045.01 01409	08.07.2022	Открытое акционерное общество "Днепро-Бугское"	завершенное строительством здание зерносушильно-очистительного комплекса ЗСК-30Г в аг. Ореховский Кобринского района 	И.А.Бортновская	Область Брестская, Район Кобринского, аг. Ореховский, ул. Ленина, 11, индекс 225897
BY/112 11.05. ТР013 045.01 01408	07.07.2022	Государственное унитарное производственное предприятие "Березовское ЖКХ"	проектная документация  по объекту № 15-18/110-21 «Модернизация тепловых сетей от котельной № 33 ул. Ленина, 1В (ТКЗ - ТК4) в аг. Спорово Берёзовского района» 	И.А.Бортновская	Область Брестская, г. Береза, ул. Анатолия Ольшевского, 27А, индекс 225209
BY/112 11.05. ТР013 045.01 01407	07.07.2022	Государственное унитарное производственное предприятие "Березовское ЖКХ"	проектная документация  по объекту № 15-18/111-21 «Модернизация участков тепловых сетей от котельной № 2 ул. Первомайская, 2 в г. Берёза»	И.А.Бортновская	Область Брестская, г. Береза, ул. Анатолия Ольшевского, 27А, индекс 225209
BY/112 11.05. ТР013 045.01 01406	07.07.2022	Общество с ограниченной ответственностью "Проджект"	проектная документация по объекту № 21.12-02П «Строительство станции обезжелезивания в д. Малые Радваничи Брестского района»	И.А.Бортновская	Область Брестская, г. Брест, ул. бульвар Шевченко, 4-2,  504
BY/112 11.05. ТР013 045.01 01405	06.07.2022	ОАО "Брест-ВТИ"	проектная документация по объекту № 1201/2022 «Устройство системы автоматической пожарной сигнализации и системы оповещения о пожаре помещений отделения № 1296 ЦБУ № 106 Брестского областного управления № 100 ОАО «АСБ Беларусбанк», расположенного по адресу: г. Береза, ул. Комсомольская, 14»	И.А.Бортновская	Область Брестская, г. Брест, ул. Светлая, 1, индекс 224020
BY/112 11.05. ТР013 045.01 01404	05.07.2022	Частное проектно-строительное унитарное предприятие "ПАЛИАНА ИНЖИНИРИНГ"	проектная документация по объекту № 139-21 "Устройство мини-котельной в здании храма Святителя Тихона, патриарха Московского и всея Руси в д. Деревная по ул. Советская, 92А Дрогичинского района с использованием в качестве топлива природного газа"	И.А.Бортновская	Область Брестская, г. Брест, ул. Комсомольская, 25,  207, индекс 224005
BY/112 11.05. ТР013 045.01 01403	05.07.2022	Общество с ограниченной ответственностью "Проектно-строительная группа Стройинжиниринг"	проектная документация по объекту № 75/21 «Строительство сетей ливневой канализации на земельном участке, расположенном по адресу: г. Брест, ул. Лейтенанта Рябцева, 9А»	П.П.Радкович	Область Брестская, г. Брест, ул. Куйбышева, 13,  51, индекс 224016
BY/112 11.05. ТР013 045.01 01402	04.07.2022	Общество с ограниченной ответственностью "ДелоПроект"	проектная документация по объекту № 14-22 «Реконструкция (модернизация) сети электроснабжения на земельном участке с кадастровым номером 121284004601000882, расположенном по ул. Городской, 68 в г. Бресте»	И.А.Бортновская	Область Брестская, г. Брест, ул. Гоголя, 2-1,  5, индекс 224005
BY/112 11.05. ТР013 045.01 01401	04.07.2022	Открытое акционерное общество "Институт комплексного проектирования объектов строительства" г. Брест	проектная документация по объекту № 117.18(2К) «Капитальный ремонт и реконструкция зданий государственного учреждения образования «Оздоровительный лагерь «Салют» г. Бреста»	П.П.Радкович	Область Брестская, г. Брест, ул. Пушкинская, 16/1, индекс 224005
BY/112 11.02. ТР013 045.01 01400	01.07.2022	Частное производственное унитарное предприятие "СофиМарсель"	плёнка поливинилхлоридная для устройства натяжных потолков в помещениях жилых, общественных и производственных зданий и сооружений	И.А.Бортновская	Область Брестская, г. Брест, ул. Ракитная, 20Г, индекс 224019
