BY/112 04.14. ТР013 045.01 00296	0317758	02.06.2023	01.06.2028	Частное предприятие "Ремсантехстрой"	Частное строительное унитарное предприятие "Ремсантехстрой"	Частное строительное унитарное предприятие "Ремсантехстрой"	Выполнение работ по монтажу наружных сетей и сооружений водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00295	0317757	02.06.2023	01.06.2028	Частное предприятие "Ремсантехстрой"	Частное строительное унитарное предприятие "Ремсантехстрой"	Частное строительное унитарное предприятие "Ремсантехстрой"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
BY/112 04.14. ТР013 045.01 00294	0317751	29.05.2023	28.05.2028	ООО "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Выполнение работ по устройству антикоррозионных покрытий строительных конструкций сооружений лакокрасочные защитные покрытия, мастичные, шпатлевочные и наливные покрытия, облицовочные покрытия
BY/112 04.14. ТР013 045.01 00293	0317750	29.05.2023	28.05.2028	ООО "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Выполнение работ по заполнению оконных и дверных проемов с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00292	0317744	23.05.2023	22.05.2028	ПОДО "Зодчий"	Производственное общество с дополнительной ответственностью "Зодчий"	Производственное общество с дополнительной ответственностью "Зодчий"	Выполнение работ по устройству изоляционных покрытий гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из металлических листов, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00291	0317743	23.05.2023	22.05.2028	ПОДО "Зодчий"	Производственное общество с дополнительной ответственностью "Зодчий"	Производственное общество с дополнительной ответственностью "Зодчий"	Выполнение работ по устройству тепловой изоляции ограждающих конструкций сооружений легкие и тяжёлые штукатурные системы утепления, вентилируемые системы утепления, системы утепления на основе комплексных теплоизоляционных материалов, монолитных утеплителей, утепление цоколей, крыш и перекрытий 
BY/112 04.14. ТР013 045.01 00290	0317716	18.05.2023	17.05.2028	ООО "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Выполнение работ по устройству оснований, фундаментов сооружений  на основании из естественных грунтов
BY/112 04.14. ТР013 045.01 00289	0317717	18.05.2023	17.05.2028	ООО "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Выполнение работ по заполнению оконных и дверных проемов  с применением оконных и дверных блоков из поливинилхлоридного профиля, из древесины, металлических
BY/112 04.14. ТР013 045.01 00288	0317718	18.05.2023	17.05.2028	ООО "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Выполнение работ по устройству изоляционных покрытий  гидроизоляция из рулонных материалов, окрасочная гидроизоляция (битумная, лакокрасочная, полимерная, битумно-полимерная, полимерцементная), гидроизоляция из цементных растворов, горячих асфальтовых смесей и литая гидроизоляция, гидроизоляция из металлических листов, гидроизоляция из полимерных листовых материалов, тепло- и звукоизоляция из плит и сыпучих материалов
BY/112 04.14. ТР013 045.01 00287	0317719	18.05.2023	17.05.2028	ООО "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Общество с ограниченной ответственностью "ЭЛЕДИ-Групп"	Выполнение работ по монтажу наружных сетей и сооружений  водоснабжение и канализация
BY/112 04.14. ТР013 045.01 00286	0317713	28.04.2023	27.04.2028	ООО "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Общество с ограниченной ответственностью "СтройБрест"	Выполнение работ по устройству дорожных покрытий пешеходных зон из тротуарных плит 
